Submission ID,Respondent ID,Submitted at,Enter your age,Enter your Gender,Program of Study,Semester,Program/Course,Program Other Field,Prior Meditation Experience:,Frequency of Meditation:,Average Duration of each meditation session:,Type of Meditation practiced:,Would you do meditation voluntarily? By yourself ,PRE1. I feel stressed about academic deadlines and exams.,PRE2. I struggle to concentrate on studies due to stress.,PRE3. Meditation does not help reduce my stress.,PRE4. I often feel anxious before tests or assignments.,PRE5. I can manage multiple academic tasks without feeling overwhelmed.,PRE6. Stress negatively affects my academic performance.,PRE7. I feel calm and focused during study sessions.,POST1. I feel stressed about academic deadlines and exams.,POST2. I struggle to concentrate on studies due to stress.,POST3. Meditation does not help reduce my stress.,POST4. I often feel anxious before tests or assignments.,POST5. I can manage multiple academic tasks without feeling overwhelmed.,POST6. Stress negatively affects my academic performance.,POST7. I feel calm and focused during study sessions.,1. How did meditation influence your stress levels during academic tasks?,"2. Which meditation practices were most effective for you, and why?","3. Did meditation help improve focus, time management, or emotional stability? Please explain.",Consent Checkbox,Consent Checkbox (Yes),MISC1. Did meditation just work for you now?,Relaxing Recommendations,Relaxing Recommendations (Check me for relaxing recommendations ),"MISC2. How frequently do you experience physical symptoms of stress (e.g., headaches, muscle tension) related to academic work?","Describe your problem: (And don't worry, this is full private. We won't say anything, nor will we show any of the teachers)",MISC3. Do you use meditation to cope with exam/academic stress?,Do you do anything else than just meditation? ,What do you actually do to reduce stress during exam time?,So... what do you do to relax during exam time?,MISC4. Will you recommend meditation to your classmates or other students for stress relief?,MISC5. Do you have any other thoughts about meditation and college stress?,"MISC6. How did our form feel compared to the others? Good, not good, etc? Can you please rate it? where 0 is worst, and 10 is best.",Form Comparison: Unique or not.,"Form Comparison: Unique or not. (Yes, definitely unique. Want to see more like this. )","Form Comparison: Unique or not. (Unique, but I don't think I want to see more like this. I want the standard ones. )","Form Comparison: Unique or not. (I don't know, dude. It looks the same to me.)"
GxbxXAo,zxE716E,2025-10-06 3:56:23,20,Female,Undergraduate (UG),1,B. Com,,Occasional (1–3 times/week),5-6 days/week,15-30 mins,Mindfullness/Awareness,Yes,5,4,2,5,1,4,3,4,3,2,4,3,2,2,With meditation i could clearly list down the task and the time required and could set a goal of completing it within deadline. ,"Mindfulness and awareness, additional breathing meditation. For clear the thoughts and relax .",Yes. I could clearly list out tasks and deadlines and how effectively I can complete it within the deadline or be prepared for the exam. ,Yes,TRUE,5,Check me for relaxing recommendations ,TRUE,"Headaches., Difficulty sleeping (not counting the part where you stay up late to watch anime or a TV show... and you actually work on your academic course work), Feel constantly tired., Dizziness?",,Yes,"Music, Just roam around, Hang out with friends, Hobbies",,,Yes,Nope. ,10,"Yes, definitely unique. Want to see more like this. ",TRUE,FALSE,FALSE
rjYjGZM,VLpz46N,2025-10-06 3:56:36,19,Male,Undergraduate (UG),1,B. Com,,Rare (less than once a week),0 days/week,Less than 5 mins,Mindfullness/Awareness,Maybe?,4,2,2,3,4,4,4,3,2,4,2,4,3,4,I usually doesn't do meditation before studying will try it,As far as I know meditation using mudra is effective ,"Till this date i didn't practiced meditation everyday ,so I don't know",Yes,TRUE,2,Check me for relaxing recommendations ,TRUE,"Muscle tension: Neck, shoulder and other stiffness when you're working for a long time. ",,No,,Games,,Maybe?,,8,"Yes, definitely unique. Want to see more like this. ",TRUE,FALSE,FALSE
b5z5Kpe,Zj92ZBA,2025-10-06 3:56:38,18,Male,Undergraduate (UG),1,B. Com,,Rare (less than once a week),0 days/week,Less than 5 mins,Breath-based (Pranayama),Maybe?,5,5,3,4,2,5,2,4,4,3,4,2,5,3,"Meditation helped me in reducing the stress levels 
It keeps my mind calm and relaxed","The one where we sit, close our eyes and concentrate on our breathing",Yes it did help in improving focus,Yes,TRUE,3,,,Headaches.,,No,,Hang out with friends,,Maybe?,I think meditation might help the students in college stress to some extent ,8,"Yes, definitely unique. Want to see more like this. ",TRUE,FALSE,FALSE
eqzqKVE,81NZRBk,2025-10-06 3:56:49,18,Male,Undergraduate (UG),1,B. Com,,Occasional (1–3 times/week),1-2 days/week,5-15 mins,Mindfullness/Awareness,Yes,4,5,3,1,3,1,5,2,3,2,1,2,1,5,It help me keep calm and composed which helped me maintain my stress levels ,simple mindfulness and deep breathing were the most effective ,yes it did as it help me focus on my tasks more clearer it helped my mind to be more organised and composed,Yes,TRUE,2,Check me for relaxing recommendations ,TRUE,"Dizziness?, Restlessness",,Yes,"Music, Jogging",,,Yes,,7,"Yes, definitely unique. Want to see more like this. ",TRUE,FALSE,FALSE
XxQx1XV,Y5j4x1z,2025-10-06 3:57:16,18,Male,Undergraduate (UG),1,B. Com,,None,0 days/week,5-15 mins,Breath-based (Pranayama),No,4,3,3,4,4,3,4,4,4,4,4,2,3,4,No,I don’t know ,Yes,Yes,TRUE,2,Check me for relaxing recommendations ,TRUE,"Other, Difficulty sleeping (not counting the part where you stay up late to watch anime or a TV show... and you actually work on your academic course work), Muscle tension: Neck, shoulder and other stiffness when you're working for a long time. , Stress eating? We honestly don't know if this is possible, but some people have said it's true?",,No,,Music,,No,Yes,8,"Yes, definitely unique. Want to see more like this. , Unique, but I don't think I want to see more like this. I want the standard ones. , I don't know, dude. It looks the same to me.",TRUE,TRUE,TRUE
GxbxX8z,ODQ7o6k,2025-10-06 3:57:18,18,Female,Undergraduate (UG),1,B. Com,,Occasional (1–3 times/week),1-2 days/week,5-15 mins,Breath-based (Pranayama),Yes,4,4,1,4,2,2,3,4,4,2,3,2,2,3,I feel refresh after meditation so I can concentrate more ,Meditation at morning breath in and out it is more effective for me I feel more relaxed ,Yes meditation made me improve focus like before I start to meditate I used to forget what is studied very soon but when I started to mediate and thn study I can remember easily i don't forget those very soon ,Yes,TRUE,4,Check me for relaxing recommendations ,TRUE,Headaches.,,Yes,Music,,,Yes,Nothing ,9,"Yes, definitely unique. Want to see more like this. ",TRUE,FALSE,FALSE
QK4KvPk,rjDokep,2025-10-06 3:57:21,17,Male,Undergraduate (UG),1,B. Com,,Occasional (1–3 times/week),1-2 days/week,5-15 mins,Breath-based (Pranayama),Maybe?,5,5,4,3,2,3,3,3,4,3,2,2,4,4,Good ,Breathing ,Focus on particular product ,Yes,TRUE,2,,,Feel constantly tired.,,No,,"Games, Music, Hang out with friends",,Maybe?,No,6,"Yes, definitely unique. Want to see more like this. , Unique, but I don't think I want to see more like this. I want the standard ones. , I don't know, dude. It looks the same to me.",TRUE,TRUE,TRUE
KYGYvdK,ob92kqN,2025-10-06 3:57:24,17,Male,Undergraduate (UG),1,B. Com,,Occasional (1–3 times/week),3-4 days/week,Less than 5 mins,"Moving Meditation (like Tai-Chi, Yoga, etc)",Yes,3,1,5,5,5,5,5,1,1,1,5,5,5,5,"Mediation gives rest to the body ,mind ,soul etc .It feels like refreshment ",Sitting idle. Relaxing my body mind soul.,Yes true I feel it can ,Yes,TRUE,5,Check me for relaxing recommendations ,TRUE,"No symptoms, bro! All fine. ",,Yes,"Games, Music, Hobbies, Just roam around, Hang out with friends, Other",,,Yes,I feel meditation helps to meet the college stress ,10,"Yes, definitely unique. Want to see more like this. ",TRUE,FALSE,FALSE
zxdx2aE,PdRzG7x,2025-10-06 3:57:27,18,Male,Undergraduate (UG),1,B. Com,,Rare (less than once a week),1-2 days/week,Less than 5 mins,Breath-based (Pranayama),No,4,2,1,3,3,4,3,2,1,1,1,3,1,4,By keeping myself clam meditation helped me to reduce stress level ,Pranamaya. Because we focus on our breathing so we will be only concentrate on it and we dont think about anything else ,Yess it did. It reduces stress and increases focus so yeah i does help to improve focus ,Yes,TRUE,4,Check me for relaxing recommendations ,TRUE,"No symptoms, bro! All fine. ",,No,,Music,,Yes,No,9,"Yes, definitely unique. Want to see more like this. , Unique, but I don't think I want to see more like this. I want the standard ones. , I don't know, dude. It looks the same to me.",TRUE,TRUE,TRUE
xXzX4eE,WOJ8j4R,2025-10-06 3:57:33,18,Male,Undergraduate (UG),1,B. Com,,Rare (less than once a week),0 days/week,Less than 5 mins,Mindfullness/Awareness,Maybe?,4,4,2,3,2,4,3,3,4,4,3,2,4,3,It influence positively ,Inhale or exhale process ,Yh sometimes it improves my time management ,Yes,TRUE,4,,FALSE,"No symptoms, bro! All fine. ",,No,,Music,,Yes,NA,7,"Yes, definitely unique. Want to see more like this. ",TRUE,FALSE,FALSE
xXzX4kE,Xx542jz,2025-10-06 3:57:41,18,Male,Undergraduate (UG),1,B. Com,,Occasional (1–3 times/week),3-4 days/week,5-15 mins,Breath-based (Pranayama),Yes,1,1,5,1,2,1,5,1,2,3,2,4,3,4,Meditation keeps our mind calm and composed and it will reduce stess level. ,Concentrating on our breathing where I can feel most effective because I keeps our body relaxed,Yes.. By doing meditation our mind will be focused,Yes,TRUE,5,,FALSE,"No symptoms, bro! All fine. ",,Yes,Games,,,Yes,Nothing,10,"Yes, definitely unique. Want to see more like this. ",TRUE,FALSE,FALSE
yP1PoPd,Me1E7B8,2025-10-06 3:57:58,18,Male,Undergraduate (UG),1,B. Com,,Rare (less than once a week),1-2 days/week,5-15 mins,"Moving Meditation (like Tai-Chi, Yoga, etc)",Maybe?,4,3,1,1,4,4,3,3,2,2,3,4,4,3,"It helped in a positive way 
Felt motivated ","Sitting calmly helped me more 
I can take a break","Yes it helped to improve focus time management and emotional stability 
By taking break from the world stress we can concentrate on these things ",Yes,TRUE,3,Check me for relaxing recommendations ,TRUE,"No symptoms, bro! All fine. ",,No,,Hang out with friends,,Maybe?,No thoughts ,6,"Yes, definitely unique. Want to see more like this. , Unique, but I don't think I want to see more like this. I want the standard ones. , I don't know, dude. It looks the same to me.",TRUE,TRUE,TRUE
b5z5YZ7,ODQ7ovM,2025-10-06 3:58:07,18,Male,Undergraduate (UG),1,B. Com,,Rare (less than once a week),1-2 days/week,Less than 5 mins,Breath-based (Pranayama),Yes,3,2,1,3,4,2,2,2,2,1,3,2,3,2,It kept my mind calm and reduced distractions .,Breathing.,"Yes meditation somewhat helped me to focus and use time wisely , also helped me to focus on the study for a longer period of time.",Yes,TRUE,4,,FALSE,"Headaches., Difficulty sleeping (not counting the part where you stay up late to watch anime or a TV show... and you actually work on your academic course work)",,No,,"Music, Games, Hang out with friends",,Yes,Nothing just feeling good,9,"Yes, definitely unique. Want to see more like this. ",TRUE,FALSE,FALSE
LZOZaDJ,EkqxN92,2025-10-06 3:58:09,18,Male,Undergraduate (UG),1,B. Com,,Occasional (1–3 times/week),1-2 days/week,5-15 mins,"Moving Meditation (like Tai-Chi, Yoga, etc)",Yes,3,4,2,3,5,4,3,3,4,4,5,3,1,4,To do more work ,All thing is effective ,Yes.  The meditation is made with a peace mind to think on it.,Yes,TRUE,5,,FALSE,Feel constantly tired.,,No,,Just roam around,,Maybe?,Nothing ,6,"Yes, definitely unique. Want to see more like this. ",TRUE,FALSE,FALSE
RGjGbxK,rjDokzo,2025-10-06 3:58:16,18,Male,Undergraduate (UG),1,B. Com,,Extensive (daily practice),0 days/week,5-15 mins,Mindfullness/Awareness,Yes,2,3,3,4,3,4,3,3,4,4,3,4,4,3,Super ,"All meditation 
",Yes meditation is help improve focus time management  ,Yes,TRUE,3,,,Feel constantly tired.,,Yes,Just roam around,,,No,No,4,"Yes, definitely unique. Want to see more like this. ",TRUE,FALSE,FALSE
eqzq0Mx,eq5aYkx,2025-10-06 3:58:18,18,Male,Undergraduate (UG),1,B. Com,,Rare (less than once a week),Daily,Less than 5 mins,Mindfullness/Awareness,Yes,1,4,2,2,3,5,5,3,5,4,4,5,4,4,Mind fresh ,Relaxation ,Not stressing the Body ,Yes,TRUE,5,Check me for relaxing recommendations ,TRUE,Headaches.,,Yes,"Hang out with friends, Games",,,Yes,,9,"Yes, definitely unique. Want to see more like this. , Unique, but I don't think I want to see more like this. I want the standard ones. , I don't know, dude. It looks the same to me.",TRUE,TRUE,TRUE
b5z5Yq6,aQO2a7Z,2025-10-06 3:58:19,18,Male,Undergraduate (UG),1,B. Com,,Occasional (1–3 times/week),1-2 days/week,Less than 5 mins,Mindfullness/Awareness,Maybe?,4,4,2,3,2,4,3,4,3,1,3,4,3,3,It will help in reducing stress,Mindfulness because i will concentrate on my breathing and not on other things,Yes it will help in improving focus ,Yes,TRUE,5,Check me for relaxing recommendations ,TRUE,"No symptoms, bro! All fine. ",,Yes,"Music, Hang out with friends, I'll just chill with my friends",,,Yes,Nothing,10,"Yes, definitely unique. Want to see more like this. ",TRUE,FALSE,FALSE
GxbxqKe,1AW9pqg,2025-10-06 3:58:26,18,Male,Undergraduate (UG),1,B. Com,,Rare (less than once a week),1-2 days/week,5-15 mins,Breath-based (Pranayama),Yes,3,4,2,4,2,3,3,2,2,1,1,3,3,3,Made me relax which helped me to understand what to do clearly ,Breathing because it shifts my focus and help my body to relax and calm down ,Yes especially time management and emotional stability ,Yes,TRUE,4,Check me for relaxing recommendations ,TRUE,"No symptoms, bro! All fine. ",,Yes,"Games, Just roam around, Music",,,Yes,,10,"Yes, definitely unique. Want to see more like this. ",TRUE,FALSE,FALSE
1ARANkg,RGWDV7K,2025-10-06 3:58:31,18,Female,Undergraduate (UG),1,B. Com,,Rare (less than once a week),1-2 days/week,Less than 5 mins,Breath-based (Pranayama),Maybe?,3,1,2,3,3,2,3,3,2,1,3,4,2,4,The medication makes my mind relax so that i can complete my academic tasks without worry  ,Pranayama ,"Yes , as we take few minutes for meditation, it helps me to focus properly soo meditation works ",Yes,TRUE,3,,,Headaches.,,No,,"Just roam around, Hang out with friends",,Yes,No,8,"Yes, definitely unique. Want to see more like this. ",TRUE,FALSE,FALSE
jazaJ6Q,xXVJled,2025-10-06 3:58:36,18,Female,Undergraduate (UG),1,B. Com,,None,1-2 days/week,Less than 5 mins,Breath-based (Pranayama),Yes,3,2,4,2,4,4,3,2,2,2,2,3,3,4,It was sometime away from all the chaos and the work which felt good and refreshing. It was much needed because it got in some clarity of thoughts too.,Pranayama (breathing),Yes it did help because now I had sometime away from all the work which got me focused and it got in some clarity in thoughts.,Yes,TRUE,4,Check me for relaxing recommendations ,TRUE,Headaches.,,Yes,"Music, Just roam around",,,Yes,No thoughts as such.,7,"Yes, definitely unique. Want to see more like this. ",TRUE,FALSE,FALSE
0QkQZ8B,1AW9p1g,2025-10-06 3:58:45,18,Male,Undergraduate (UG),1,B. Com,,Rare (less than once a week),1-2 days/week,Less than 5 mins,Breath-based (Pranayama),Maybe?,3,3,2,3,3,3,3,3,3,3,4,3,4,4,Focusing ,Constration on breth ,Yes ,Yes,TRUE,3,,,Headaches.,,Yes,Hang out with friends,,,Maybe?,Nothing ,8,"I don't know, dude. It looks the same to me.",FALSE,FALSE,TRUE
NpPpbXO,0QVeDp9,2025-10-06 3:58:49,18,Female,Undergraduate (UG),1,B. Com,,Rare (less than once a week),1-2 days/week,5-15 mins,Breath-based (Pranayama),Yes,2,4,1,3,3,4,3,2,2,4,4,4,2,4,"The anxiety reduces , concentration increase ",Breathing practice was effective because it helps to concentrate ,"Yes definitely meditation helps me a lot with I feel anxious, it helps me when I am confused in taking decisions , and more over brings emotional stability ",Yes,TRUE,5,Check me for relaxing recommendations ,TRUE,"Stress eating? We honestly don't know if this is possible, but some people have said it's true?",,No,,Hobbies,,Yes,No,8,"Yes, definitely unique. Want to see more like this. ",TRUE,FALSE,FALSE
WOqOKRk,dWb9k5r,2025-10-06 3:58:51,18,Female,Undergraduate (UG),1,B. Com,,Rare (less than once a week),1-2 days/week,Less than 5 mins,Breath-based (Pranayama),Yes,3,2,2,3,3,3,3,4,2,4,4,4,2,3,It helps during exams if we doing meditation on regular basis otherwise we can't see the results,Just closing my eyes and concentrate on my breathing and not thinking about anything,Yes it helps as I said if it's done on regular basis.It helps us rethink out our decisions and take wise decisions ,Yes,TRUE,4,,,Headaches.,,Yes,,,,Yes,No,8,"Unique, but I don't think I want to see more like this. I want the standard ones. ",FALSE,TRUE,FALSE
obzb52x,VLpz4RM,2025-10-06 3:59:00,17,Male,Undergraduate (UG),1,B. Com,,Occasional (1–3 times/week),1-2 days/week,5-15 mins,Mindfullness/Awareness,Yes,3,4,2,5,3,2,3,2,2,5,2,3,4,2,Meditation reduced my stress level drastically ,"Focusing on awareness and consciousness and praying , because both helped me gain focus and peace ","Yes meditation did help me improve my focus and time management, it reduces stress for me and calms my mind",Yes,TRUE,3,Check me for relaxing recommendations ,TRUE,"Stress eating? We honestly don't know if this is possible, but some people have said it's true?",,No,,"Music, Just roam around, Hang out with friends",,Yes,"Meditation should be done on a daily basis, it helps in calming the mind and increase focus by decreasing stress",7,"Yes, definitely unique. Want to see more like this. ",TRUE,FALSE,FALSE
VLNLbzM,RGWDVX4,2025-10-06 3:58:59,18,Female,Undergraduate (UG),1,B. Com,,Occasional (1–3 times/week),1-2 days/week,Less than 5 mins,Breath-based (Pranayama),Maybe?,2,2,2,3,4,2,4,2,2,2,3,3,2,4,Be more focused and less my stress levels,Breathing mediation ,"Yes, the mediation has helped me in all these area",Yes,TRUE,3,Check me for relaxing recommendations ,TRUE,"No symptoms, bro! All fine. ",,No,,"Music, Hang out with friends, Hobbies",,Yes,No suggestion ,10,"Yes, definitely unique. Want to see more like this. ",TRUE,FALSE,FALSE
zxdxGY0,WOJ8jGk,2025-10-06 3:59:09,18,Male,Undergraduate (UG),1,B. Com,,Rare (less than once a week),1-2 days/week,5-15 mins,Breath-based (Pranayama),Maybe?,4,4,4,4,4,4,4,4,4,4,4,4,4,4,"


Meditation helped me reduce my stress during academic tasks by keeping my mind calm and focused. When I practiced meditation regularly, I felt less anxious before exams or assignments. It helped me control my thoughts, concentrate better, and stay relaxed even when I had a lot of work. ","The most effective meditation practice for me was mindful breathing. Focusing on my breath helped me calm my mind and stay present, especially when I felt stressed during studies. I also found guided meditation useful because it gave me clear steps to relax and focus. ","Yes, meditation helped me improve my focus, time management, and emotional stability. It made it easier to concentrate on my studies without getting distracted. I also became more organized because meditation taught me to stay calm and plan my time better. Emotionally, I felt more balanced and less frustrated when things didn’t go as planned. ",Yes,TRUE,4,,,Feel constantly tired.,,Yes,Just roam around,,,Maybe?,Nothing ,8,"Unique, but I don't think I want to see more like this. I want the standard ones. ",FALSE,TRUE,FALSE
NpPpboj,pbeDkj8,2025-10-06 3:59:11,18,Male,Undergraduate (UG),1,B. Com,,Rare (less than once a week),1-2 days/week,Less than 5 mins,Breath-based (Pranayama),No,4,3,2,4,1,5,3,3,4,2,4,1,1,3,Meditation increase the concentration level,Breat in and out. That only i know,"Yes, meditation maybe increase the whole thinks.",Yes,TRUE,2,,FALSE,"No symptoms, bro! All fine. ",,Yes,"Music, Hobbies, Games",,,Yes,Nothing ,8,"Yes, definitely unique. Want to see more like this. ",TRUE,FALSE,FALSE
kdzdJ6e,81NZMoz,2025-10-06 3:59:13,18,Male,Undergraduate (UG),1,B. Com,,Rare (less than once a week),1-2 days/week,Less than 5 mins,Breath-based (Pranayama),Maybe?,4,2,2,4,3,2,4,2,2,1,2,4,3,4,It helped me to clam my mind and empty mind for studies..,Pranayama. Because of the breathing exercises it so easy to me to get the calmness..,Yes. It does give a good impact..,Yes,TRUE,4,,FALSE,Headaches.,,Yes,"Games, Music",,,Yes,,8,"Yes, definitely unique. Want to see more like this. ",TRUE,FALSE,FALSE
XxQx8WY,Y5j4kDW,2025-10-06 3:59:16,17,Male,Undergraduate (UG),1,B. Com,,None,3-4 days/week,Less than 5 mins,Breath-based (Pranayama),Maybe?,4,2,2,3,4,1,4,3,2,3,3,4,3,4,It may help me to focus on my works and fells very freshfull mind.,......none,Nooo,Yes,TRUE,3,Check me for relaxing recommendations ,TRUE,"No symptoms, bro! All fine. ",,Yes,Hang out with friends,,,Maybe?,Nothing to say bro...,9,"Yes, definitely unique. Want to see more like this. ",TRUE,FALSE,FALSE
jazaJya,jaelvDJ,2025-10-06 3:59:22,17,Male,Undergraduate (UG),1,B. Com,,Rare (less than once a week),1-2 days/week,Less than 5 mins,Mindfullness/Awareness,Maybe?,4,3,2,3,3,4,4,3,3,2,3,2,4,3,By improving focus and calmness,The mindfulness mediation ,"Yes, it allowed me to concentrate in studies better.",Yes,TRUE,4,Check me for relaxing recommendations ,TRUE,"No symptoms, bro! All fine. ",,No,,Music,,Yes,Meditation is a effective way to manage college stress.,8,"Yes, definitely unique. Want to see more like this. ",TRUE,FALSE,FALSE
2EoElej,2EjK78D,2025-10-06 3:59:22,17,Female,Undergraduate (UG),1,B. Com,,Occasional (1–3 times/week),1-2 days/week,5-15 mins,Breath-based (Pranayama),Yes,2,3,1,3,3,2,3,4,4,5,3,2,4,3,"It made my mind fresh and I feel relaxed while doing meditation 
From that we can start our accademic more fresh",Concentrating on every body part and breathing ,"Yeah it do help in improve focus , time management and emotional stability 
By keeping our minds calm and relaxed 
Helps us to concentrate on things ",Yes,TRUE,5,Check me for relaxing recommendations ,TRUE,Headaches.,,Yes,Music,,,Yes,Meditation brings a lot more changes in a human ,10,"Yes, definitely unique. Want to see more like this. ",TRUE,FALSE,FALSE
